var_0;var_1;var_2;var_3;var_4;var_5;var_6;var_7;var_8;var_9;var_10;var_11;var_12;var_13;var_14;var_15;var_16;var_17;var_18;var_19;var_20;var_21;var_22;var_23;var_24;err_ds_0;err_ds_1;err_ds_2;err_ds_3;err_ds_4;err_ds_5;err_ds_6;err_ds_7;err_ds_8;err_ds_9;err_ds_10;err_ds_11;err_ds_12;err_ds_13;err_ds_14;err_ds_15;err_ds_16;err_ds_17;err_ds_18;err_ds_19;err_ds_20;err_ds_21;err_ds_22;err_ds_23;err_ds_24;err_ds_25;err_ds_26;err_ds_27;err_ds_28;err_ds_29;err_mean;err_std
5;7;47;15;8;51;41;15;25;42;7;37;49;51;44;31;38;7;27;48;52;21;24;13;7;19664.719438912394;16916.691589745802;23051.37526056945;19424.28637817011;10619.788456325463;50794.15504760435;12910.92092541331;21081.609679033445;21768.972789757056;23339.04514424918;16413.12201503742;20102.793419952508;24858.46832704565;6649.950014853241;49163.487493142566;20531.451655042223;51128.43189850699;19424.522055608995;29037.426723384848;19139.93052780068;51953.14166297642;22447.485465916303;56168.54569879372;35170.896901414635;18139.063869486257;42070.681319096475;26423.297302065945;26600.795150476002;25343.910710019783;20094.759272146777;26681.12420641827;12998.229502697395
49;10;42;23;8;6;35;29;30;14;13;41;35;9;31;38;43;21;50;45;11;28;5;34;26;302079.0088971874;331982.00367543194;397918.59139575943;309570.1355289459;316240.167272689;1040568.1980078965;731640.1047654334;368793.01030124666;627612.8794834254;395658.18322372966;652435.9572731017;826894.1600872636;485218.5823223452;156617.71420607797;645916.9964193975;905168.941744116;1060272.303499166;540764.902974266;537781.0706140595;621308.4359265639;696096.540064965;396488.8521609002;573693.2223977725;345906.9108808549;262397.93848809553;1243079.003844553;343703.012872573;432410.9291200202;616190.4587989785;457623.9456684558;554067.7387305091;254758.8111409242
35;22;31;30;20;36;16;9;24;50;11;8;8;49;47;21;40;26;40;9;33;37;5;42;49;281106.51265824353;321815.9117385955;370017.18780413293;294436.8017550459;267857.0347834548;909747.1315882313;649575.4514698167;348560.4904161616;566456.438593777;369672.0056216802;465007.7420348465;790825.5997655791;473594.6664689547;171429.52545379498;571560.5433867114;810535.8718978916;864826.5267103288;489166.22282426653;555225.6380547046;596276.2754615196;635199.5493986347;359843.89941201103;575173.0840253972;348969.0664396875;229544.66942260292;1250162.7895682668;387749.0320356042;437471.552872874;582114.534453754;462914.9033548533;514561.2219823807;230173.62424507368
25;40;20;50;33;25;45;35;30;37;6;18;10;30;42;4;9;45;24;14;45;45;31;30;22;2593313.5140554383;2928095.7067569834;3261843.621360924;2701674.8420656635;1847760.7515955337;8358805.858718773;4899888.482601285;3232450.241484597;8076858.538431286;3461675.291458707;7037923.609091429;4316013.385549885;7126419.509935925;12913839.302411266;6081680.482267164;11444312.913663333;11351221.757475924;3761018.612489784;4223324.804542976;4953501.696489946;10842572.161501886;3260752.511553382;5995013.347700793;3106011.207803781;1970576.4817824638;8559748.70258972;3671863.0554492716;3469657.0102180666;5763918.9369523395;4923355.431240646;5537836.3923079735;3006259.6930054966
37;36;20;26;13;30;39;49;16;34;48;15;36;16;48;10;37;22;10;42;33;44;17;50;38;654.2241609372435;680.3939651405625;757.7985285510497;657.8463225127769;389.2746637282625;2741.6026952586594;1694.5663171090578;720.5833684258491;1560.636890060155;754.9411081735833;2222.5041303009516;2707.996428644054;2780.0404115220626;972.5888764814796;2229.9278817625823;2401.838489386644;2817.7702338013974;1205.0015759995786;1802.7636449792685;1554.1135028511637;2207.697405368253;883.8108863946618;1483.9328835741685;817.7445028201032;520.5923294962828;2837.760692632384;1016.790752993368;943.2993800638834;1898.529699273349;1153.3297990300205;1502.3300509090955;789.6439392167729
18;41;10;50;50;32;5;45;9;12;3;45;22;27;10;33;47;45;6;44;43;23;39;32;12;2826.019195676581;4931.460112723317;3473.91671028924;2736.501759070677;2201.610815208517;16858.390928215744;10572.858087123514;3361.72458565116;10702.551042915044;3489.60874915495;15374.005037768555;22920.34478597225;31041.81318871475;4299.883847921277;20174.06183897354;21744.22289702428;14230.008810509034;8536.593079914519;13199.981157536271;8381.549220213983;15981.244371286146;6185.716422490157;6661.96934192697;8268.050187536366;4037.6458393457583;16378.607698527709;5282.222559995345;11564.911278459213;14142.923494480587;5976.313856982068;10517.890363386916;7079.885224350483
49;14;51;22;20;11;27;46;36;52;25;3;19;8;48;33;45;49;23;8;23;45;11;11;26;149.202312610018;178.7219843141071;168.75117873865761;148.45227258744106;96.44588736828939;614.6519666886242;370.6209319374957;162.18868561590372;334.3012763730177;167.3258689980381;445.8121967106383;481.51392676000006;548.3646159134619;127.3457944379488;416.5760039648295;517.0246860004763;594.3020724493663;251.035135537927;340.60017035077794;341.385277692476;558.8213824544068;198.35571527645897;354.47568506690334;161.98785959790382;130.5774294164384;589.5674834964659;213.51231594288257;240.5755799718586;356.89778704623234;223.66464561378888;316.10193763109453;161.63649651363747
51;6;47;13;17;26;48;51;34;10;41;34;12;50;41;9;47;49;5;23;50;29;13;13;47;18572.496755342614;16614.654765097603;20094.7667407015;19519.979018296017;15221.100870722174;96696.25834280306;37381.82130784555;21715.93019363522;40281.938116611134;20407.7426035543;78625.09648274095;88480.44523859478;91628.82896183009;14560.110260560481;80968.27152076643;95114.04264154154;91724.45735389486;39738.62827089887;51084.476555785266;37956.15207599784;57570.48414251349;20632.77672382149;31661.994688951007;17587.437795688224;10351.331913610138;88213.02764542945;40699.043098763825;26182.23362413066;56194.097218383096;45169.4720897926;45688.30323394348;28877.653787729534
3;29;8;22;22;50;17;44;30;23;5;28;40;47;21;10;9;20;17;33;22;50;14;48;5;194877.4800970187;197578.77860057526;206667.05609177498;197072.91242073578;208867.58064105286;204035.43003366335;196363.4957403733;197999.86583705005;101304.45716030512;209234.8852792365;99736.77293859207;200674.78919323088;160930.50288776978;104483.49363266653;330432.903311169;103093.02748831545;205375.21238492997;104805.83694530025;245130.25871844785;99498.68743003863;485956.42910388316;201276.32270961607;177509.90665702499;194688.89813328185;348291.9797627986;164598.4111555263;100069.95506948246;195118.35459310524;203063.29920827813;98447.48379644912;191239.4822340564;82044.37423399056
37;7;36;31;35;7;7;19;39;38;30;50;29;36;24;46;48;31;4;8;16;4;14;18;42;992663.8440875169;1051302.9560264957;1196761.3060039107;1011775.8241789144;430310.8315746344;1277462.777067712;758311.1145662678;1121544.3357036372;1266302.3418479923;1182215.09262499;1163466.881264705;1073048.6020810672;1483177.9346220307;1000.0;1066668.0347601587;1657203.3845204317;1116924.8737886276;961352.7418695753;765583.1389532081;940996.0260471717;1001893.220633693;1027458.2369211862;1099991.0582306904;1196908.9553666739;297417.2691475557;1238752.9373260194;771861.3477108665;1105243.5355739023;1482305.8125763638;951653.6750903062;1023051.9363388768;330461.65087521495
